Component,testmetric,unit,ptopo,ltopo,baseline,,"Values for different builds",,,,,,,,,,,,,,
,,,,,,,8653001,8589202,8580109,8552660,8533417,8514857,8488558,8476565,8470437,8400471,8353808,8349347,8341416,8319863,7395507
ESX-DP,test_udp_stream_vm1_m1024_FPS,FPS,hv-hv,LS.overlay,572356,,571308,570499,580431,602468,572832,569951,586754,591279,605781,588456,277670,272176,594938,569436,572356
ESX-DP,test_udp_stream_vm1_m256_FPS,FPS,hv-hv,LS.overlay,591216,,582369,579141,562296,676345,583296,585942,564447,578022,678904,576239,291127,284495,687644,559139,591216
ESX-DP,test_udp_stream_vm1_m64_FPS,FPS,hv-hv,LS.overlay,642024,,636020,636279,631591,712300,638416,636750,634203,636270,720612,631576,286120,293832,724888,642295,642024
ESX-DP,test_udp_stream_vm8_m1024_FPS,FPS,hv-hv,LS.overlay,1077288,,1074696,1076942,1078773,1053335,1074151,1076216,1079220,1070379,1044017,1076874,1052438,1064856,1056749,1069718,1077288
ESX-DP,test_udp_stream_vm8_m256_FPS,FPS,hv-hv,LS.overlay,2987814,,2952295,2962062,3093654,1911423,3159689,2919719,2988283,2993097,2086102,3131732,1984834,2198104,2168114,3047709,2987814
ESX-DP,test_udp_stream_vm8_m64_FPS,FPS,hv-hv,LS.overlay,4006951,,3762846,4011132,3874152,2186021,4139647,4075833,3997720,3950484,2325523,4000598,2265801,2264923,2477767,3745548,4006951
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,LS.overlay,12098.78,,12428,12260,12319,12773,12519,12516,12396,12440,12726,12421,10118,9865,11774,12037,12099
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,LS.overlay,38797.67,,39868,39432,39413,40400,39723,39731,39960,40163,40245,40030,24100,22874,37297,36993,38798
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,LS.overlay,59665.72,,58715,58422,57001,55466,58913,58060,58436,59238,54478,58750,44851,48339,52089,55829,59666
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,LS.overlay,146996.04,,145785,145659,145254,132636,144766,144274,144683,144878,130562,144593,103720,106614,129235,139433,146996
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,LS.overlay,8591.67,,8595,8617,8683,8525,8812,8088,8304,8531,8468,8855,8296,8858,8280,8572,8592
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,LS.overlay,18.51,,15.94,16.4,19.87,18.78,20.31,16.82,17.81,19.52,22.79,21.66,24.55,20.56,22.46,19.22,18.51
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,LS.overlay,29.68,,26.99,27.04,31.54,28.86,30.92,31.65,30.46,30.41,31.29,32.49,32.4,31.98,30.07,28.02,29.68
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,LS.overlay,111.22,,107.45,112.64,112.05,118.15,113.64,110.03,112.73,112.2,120.78,113.95,92.06,89.21,112.13,102.55,111.22
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,LS.overlay,2222.03,,2219,2184,2199,2540,2230,2243,2231,2175,2470,2203,3309,2971,2754,2306,2222
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,LS.overlay,1852.81,,1899,1843,1846,2201,1841,1884,1842,1837,2101,1833,3041,2529,2374,2028,1853
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,LS.overlay,9050.71,,9051,9050,9050,9049,9051,9051,9050,9051,9049,9051,9054,9053,9051,9050,9051
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,LS.overlay,41.32,,40.11,41.32,43.31,41.55,41.21,44.96,40.44,40.22,40.77,42.75,42.74,41.09,41.1,43.21,41.32
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,LS.overlay,80.85,,80.11,84.63,91.03,75.58,82.21,91.91,78.79,79.78,73.7,83.19,80.52,80.31,75.8,90.28,80.85
ESX-DP,test_tcp_stream_vm8_m64_mbps,mbps,hv-hv,LS.overlay,564.46,,565.77,567.38,569.17,511.02,561.09,570.24,519.45,566.43,500.42,567.44,413.24,448.71,491.85,543.22,564.46
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host0,NCpu,hv-hv,LS.overlay,2223.36,,2225,2222,2288,2543,2262,2252,2287,2264,2536,2249,3469,3111,2762,2395,2223
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host1,NCpu,hv-hv,LS.overlay,1910.86,,1912,1900,1941,2159,1943,1966,1951,1976,2065,1930,2967,2562,2338,2123,1911
ESX-DP,test_tcp_rr_vm1_tps,tps,hv-hv,LS.overlay,39962.19,,40863,40641,40713,40978,40502,40193,40052,40919,41258,40034,33876,29582,39860,36467,39962
ESX-DP,test_tcp_rr_vm8_tps,tps,hv-hv,LS.overlay,187569.9,,191369,174541,186735,173893,186720,187239,180442,184498,177755,185887,153597,161289,168726,176103,187570
ESX-DP,test_udp_stream_vm1_m1024_FPS,FPS,hv-hv,LS-T1.overlay,555785,,552001,561296,565023,595765,564093,549425,549609,552328,596273,567600,270617,269499,556426,530260,555785
ESX-DP,test_udp_stream_vm1_m256_FPS,FPS,hv-hv,LS-T1.overlay,564177,,564560,546682,547371,705134,548888,559560,563499,560139,709481,554129,283121,290834,687668,561405,564177
ESX-DP,test_udp_stream_vm1_m64_FPS,FPS,hv-hv,LS-T1.overlay,612391,,609599,604802,605453,715156,610152,609571,610603,609622,710544,606299,288343,288699,697287,591314,612391
ESX-DP,test_udp_stream_vm8_m1024_FPS,FPS,hv-hv,LS-T1.overlay,1062566,,1078923,1080032,1079030,1061127,1075321,1075512,1075743,1064519,1055527,1077928,1056246,1066765,1059927,1075724,1062566
ESX-DP,test_udp_stream_vm8_m256_FPS,FPS,hv-hv,LS-T1.overlay,3006593,,2941738,3028998,3038993,2022485,3048691,3071270,3101325,3049238,2057375,3072351,2001332,2241923,2162910,2995439,3006593
ESX-DP,test_udp_stream_vm8_m64_FPS,FPS,hv-hv,LS-T1.overlay,3638361,,3894785,3598913,3708250,2304013,3806221,3676998,3791026,3948725,2259558,3803563,2247021,2276572,2448778,3450239,3638361
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,LS-T1.overlay,12450.79,,12290,12400,12453,12770,12522,12425,12290,12402,12840,12380,9802,9728,11777,11726,12451
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,LS-T1.overlay,40225.95,,40202,40201,40184,40311,40249,39618,40493,40430,40165,39824,23979,23821,36984,38398,40226
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,LS-T1.overlay,59410.44,,58579,58896,57866,54280,58150,59513,59024,58763,54298,58798,44722,48037,51523,56021,59410
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,LS-T1.overlay,147032.89,,145078,144145,145522,130937,144424,145435,145407,145319,133201,144950,101917,106832,128668,137240,147033
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,LS-T1.overlay,8874.43,,8557,8385,8995,9006,8522,8651,8625,8516,8625,9021,8954,9039,7131,8397,8874
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay,19.3,,17.48,19.8,21.88,24.21,16.98,18.09,16.77,16.45,22.6,23.1,25.91,23.79,23.41,19.7,19.3
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay,32.65,,27.11,30.41,32.02,35.98,27.03,31.17,31.51,28.06,31.62,31.94,36.58,33.3,33.23,27.53,32.65
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,LS-T1.overlay,113.85,,108.72,111.87,110.91,116.18,111.68,114.49,111.65,111.35,116.63,114.81,88.66,86.2,105.69,106.33,113.85
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay,2196.94,,2208,2215,2227,2594,2229,2215,2250,2227,2555,2212,3402,3121,2753,2336,2197
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay,1906.02,,1849,1872,1857,2214,1825,1825,1885,1859,2247,1860,3147,2575,2545,1939,1906
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,LS-T1.overlay,9050.5,,9050,9051,9051,9049,9051,9051,9050,9050,9049,9050,9051,9054,9050,9050,9051
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay,44.09,,47.18,40.21,39.88,40.55,43.86,39.67,39.78,41.54,41.76,41.65,42.87,42.86,41.77,42.43,44.09
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay,89.17,,90.39,78.65,78.78,72.17,88.06,78,78.9,81.76,73.71,85.63,77.12,82.07,77.24,86.19,89.17
